,iters,top_1,top_5,consumeTime
0,10,80.9375,95.0,14.110009670257568
1,20,83.125,95.3125,27.78084945678711
2,30,84.79166666666667,95.72916666666667,41.591941356658936
3,40,85.9375,96.015625,55.674476623535156
4,50,85.125,95.5625,69.56447577476501
5,60,81.61458333333333,94.84375,83.24447202682495
6,70,80.49107142857143,94.41964285714286,98.41869044303894
7,80,79.21875,93.90625,112.38818168640137
8,90,78.50694444444444,93.78472222222223,125.94670248031616
9,100,76.96875,93.28125,139.3677203655243
10,110,76.05113636363636,92.8125,152.6877245903015
11,120,76.09375,93.02083333333333,165.9595730304718
12,130,76.39423076923077,92.90865384615384,179.28260850906372
13,140,77.32142857142857,93.19196428571429,192.7106213569641
14,150,78.35416666666667,93.41666666666667,205.93973970413208
15,160,78.65234375,93.53515625,219.2977409362793
16,170,78.80514705882354,93.47426470588235,232.55974650382996
17,180,78.85416666666667,93.45486111111111,245.70975494384766
18,190,78.86513157894737,93.55263157894737,259.08177852630615
19,200,78.625,93.5,272.5280816555023
